"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"327";"SWJW";"GO";5211909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"328";"SWKC";"MT";5102504;-57,62990189;-16,04360008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"329";"SWLV";"MT";5107800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"330";"SWNA";"AM";1303304;-60,36489868;-5,118030071;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"331";"SWNH";"GO";5202502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"332";"SWNK";"AM";1300706;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"333";"SWNO";"AM";1303106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"334";"SWNQ";"GO";5214606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"335";"SWOB";"AM";1301605;-66,08319855;-2,53260994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"336";"SWPD";"RR";1400159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"337";"SWPF";"AM";1303536;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"338";"SWPQ";"MT";5106778;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"339";"SWTP";"AM";1303601;-64,9923;-0,3786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"340";"SWVC";"MT";5108600;-51,14222336;-9,97944355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"341";"SWWA";"GO";5218003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"342";"SWWU";"GO";5221601;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"343";"SWXM";"MT";5105606;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"344";"SWXV";"MT";5106257;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"345";"SWYK";"MT";5106505;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"346";"SWYN";"AM";1300144;-59,83959961;-7,172870159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"347";"SWZM";"GO";5220405;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"348";"SNAR";"MG";3101706;-40,66666667;-16,18333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"349";"SNCT";"MG";3170057;-42,1;-19,71666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"350";"SNGX";"MG";3128709;-46,73027778;-21,32666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"351";"SNJM";"MG";3139409;-42,18388889;-20,25972222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"352";"SNOS";"MG";3147907;-46,65972222;-20,73333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"353";"SNUH";"MG";3151503;-45,99277778;-20,43861111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"354";"SNVC";"MG";3171303;-42,84194444;-20,74472222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
